date_key,full_date,year,quarter,month,month_name
20210308,2021-03-08,2021,1,3,March
20211207,2021-12-07,2021,4,12,December
20201013,2020-10-13,2020,4,10,October
20201222,2020-12-22,2020,4,12,December
20210808,2021-08-08,2021,3,8,August
20210206,2021-02-06,2021,1,2,February
20200213,2020-02-13,2020,1,2,February
20210416,2021-04-16,2021,2,4,April
20200515,2020-05-15,2020,2,5,May
20210501,2021-05-01,2021,2,5,May
20201211,2020-12-11,2020,4,12,December
20200106,2020-01-06,2020,1,1,January
20200127,2020-01-27,2020,1,1,January
20210319,2021-03-19,2021,1,3,March
20210113,2021-01-13,2021,1,1,January
20210727,2021-07-27,2021,3,7,July
20210220,2021-02-20,2021,1,2,February
20200407,2020-04-07,2020,2,4,April
20201122,2020-11-22,2020,4,11,November
20210510,2021-05-10,2021,2,5,May
20211025,2021-10-25,2021,4,10,October
20210517,2021-05-17,2021,2,5,May
20210221,2021-02-21,2021,1,2,February
20200818,2020-08-18,2020,3,8,August
20210703,2021-07-03,2021,3,7,July
20210325,2021-03-25,2021,1,3,March
20210313,2021-03-13,2021,1,3,March
20210911,2021-09-11,2021,3,9,September
20200628,2020-06-28,2020,2,6,June
20210429,2021-04-29,2021,2,4,April
20210330,2021-03-30,2021,1,3,March
20210511,2021-05-11,2021,2,5,May
20200918,2020-09-18,2020,3,9,September
20200705,2020-07-05,2020,3,7,July
20201108,2020-11-08,2020,4,11,November
20201206,2020-12-06,2020,4,12,December
20200511,2020-05-11,2020,2,5,May
20210805,2021-08-05,2021,3,8,August
20200813,2020-08-13,2020,3,8,August
20210202,2021-02-02,2021,1,2,February
20211007,2021-10-07,2021,4,10,October
20200401,2020-04-01,2020,2,4,April
20201004,2020-10-04,2020,4,10,October
20200526,2020-05-26,2020,2,5,May
20200601,2020-06-01,2020,2,6,June
20200206,2020-02-06,2020,1,2,February
20200417,2020-04-17,2020,2,4,April
20200229,2020-02-29,2020,1,2,February
20200731,2020-07-31,2020,3,7,July
20210811,2021-08-11,2021,3,8,August
20210126,2021-01-26,2021,1,1,January
20210303,2021-03-03,2021,1,3,March
20210323,2021-03-23,2021,1,3,March
20211030,2021-10-30,2021,4,10,October
20210110,2021-01-10,2021,1,1,January
20210401,2021-04-01,2021,2,4,April
20210504,2021-05-04,2021,2,5,May
20210607,2021-06-07,2021,2,6,June
20210726,2021-07-26,2021,3,7,July
20200806,2020-08-06,2020,3,8,August
20210629,2021-06-29,2021,2,6,June
20210516,2021-05-16,2021,2,5,May
20200612,2020-06-12,2020,2,6,June
20210112,2021-01-12,2021,1,1,January
20210626,2021-06-26,2021,2,6,June
20210404,2021-04-04,2021,2,4,April
20200802,2020-08-02,2020,3,8,August
20210625,2021-06-25,2021,2,6,June
20200702,2020-07-02,2020,3,7,July
20200212,2020-02-12,2020,1,2,February
20210324,2021-03-24,2021,1,3,March
20201023,2020-10-23,2020,4,10,October
20200607,2020-06-07,2020,2,6,June
20200530,2020-05-30,2020,2,5,May
20210813,2021-08-13,2021,3,8,August
20200825,2020-08-25,2020,3,8,August
20210421,2021-04-21,2021,2,4,April
20201026,2020-10-26,2020,4,10,October
20201018,2020-10-18,2020,4,10,October
20210623,2021-06-23,2021,2,6,June
20201028,2020-10-28,2020,4,10,October
20201128,2020-11-28,2020,4,11,November
20200828,2020-08-28,2020,3,8,August
20210224,2021-02-24,2021,1,2,February
20200522,2020-05-22,2020,2,5,May
20210124,2021-01-24,2021,1,1,January
20201121,2020-11-21,2020,4,11,November
20200307,2020-03-07,2020,1,3,March
20200208,2020-02-08,2020,1,2,February
20210807,2021-08-07,2021,3,8,August
20200301,2020-03-01,2020,1,3,March
20200616,2020-06-16,2020,2,6,June
20201005,2020-10-05,2020,4,10,October
20201020,2020-10-20,2020,4,10,October
20211223,2021-12-23,2021,4,12,December
20210919,2021-09-19,2021,3,9,September
20210119,2021-01-19,2021,1,1,January
20210106,2021-01-06,2021,1,1,January
20200630,2020-06-30,2020,2,6,June
20211002,2021-10-02,2021,4,10,October
20200224,2020-02-24,2020,1,2,February
20200108,2020-01-08,2020,1,1,January
20200920,2020-09-20,2020,3,9,September
20200216,2020-02-16,2020,1,2,February
20210505,2021-05-05,2021,2,5,May
20210617,2021-06-17,2021,2,6,June
20201006,2020-10-06,2020,4,10,October
20210521,2021-05-21,2021,2,5,May
20211018,2021-10-18,2021,4,10,October
20200419,2020-04-19,2020,2,4,April
20201104,2020-11-04,2020,4,11,November
20201205,2020-12-05,2020,4,12,December
20210412,2021-04-12,2021,2,4,April
20211104,2021-11-04,2021,4,11,November
20210223,2021-02-23,2021,1,2,February
20210425,2021-04-25,2021,2,4,April
20200107,2020-01-07,2020,1,1,January
20210611,2021-06-11,2021,2,6,June
20210211,2021-02-11,2021,1,2,February
20210618,2021-06-18,2021,2,6,June
20210829,2021-08-29,2021,3,8,August
20201228,2020-12-28,2020,4,12,December
20210225,2021-02-25,2021,1,2,February
20200203,2020-02-03,2020,1,2,February
20210819,2021-08-19,2021,3,8,August
20200414,2020-04-14,2020,2,4,April
20211110,2021-11-10,2021,4,11,November
20210630,2021-06-30,2021,2,6,June
20210506,2021-05-06,2021,2,5,May
20210331,2021-03-31,2021,1,3,March
20210101,2021-01-01,2021,1,1,January
20200119,2020-01-19,2020,1,1,January
20200722,2020-07-22,2020,3,7,July
20200814,2020-08-14,2020,3,8,August
20211126,2021-11-26,2021,4,11,November
20201110,2020-11-10,2020,4,11,November
20210908,2021-09-08,2021,3,9,September
20211205,2021-12-05,2021,4,12,December
20201008,2020-10-08,2020,4,10,October
20200917,2020-09-17,2020,3,9,September
20210408,2021-04-08,2021,2,4,April
20210526,2021-05-26,2021,2,5,May
20200314,2020-03-14,2020,1,3,March
20211022,2021-10-22,2021,4,10,October
20210201,2021-02-01,2021,1,2,February
20201120,2020-11-20,2020,4,11,November
20211206,2021-12-06,2021,4,12,December
20210717,2021-07-17,2021,3,7,July
20200627,2020-06-27,2020,2,6,June
20201111,2020-11-11,2020,4,11,November
20200131,2020-01-31,2020,1,1,January
20200804,2020-08-04,2020,3,8,August
20210209,2021-02-09,2021,1,2,February
20200303,2020-03-03,2020,1,3,March
20210529,2021-05-29,2021,2,5,May
20200609,2020-06-09,2020,2,6,June
20200821,2020-08-21,2020,3,8,August
20210715,2021-07-15,2021,3,7,July
20211106,2021-11-06,2021,4,11,November
20200706,2020-07-06,2020,3,7,July
20200321,2020-03-21,2020,1,3,March
20210320,2021-03-20,2021,1,3,March
20210420,2021-04-20,2021,2,4,April
20200718,2020-07-18,2020,3,7,July
20210706,2021-07-06,2021,3,7,July
20211021,2021-10-21,2021,4,10,October
20200709,2020-07-09,2020,3,7,July
20200726,2020-07-26,2020,3,7,July
20210604,2021-06-04,2021,2,6,June
20200924,2020-09-24,2020,3,9,September
20210414,2021-04-14,2021,2,4,April
20200727,2020-07-27,2020,3,7,July
20200220,2020-02-20,2020,1,2,February
20211225,2021-12-25,2021,4,12,December
20210403,2021-04-03,2021,2,4,April
20211210,2021-12-10,2021,4,12,December
20210822,2021-08-22,2021,3,8,August
20210928,2021-09-28,2021,3,9,September
20211102,2021-11-02,2021,4,11,November
20200801,2020-08-01,2020,3,8,August
20210909,2021-09-09,2021,3,9,September
20200219,2020-02-19,2020,1,2,February
20200109,2020-01-09,2020,1,1,January
20200319,2020-03-19,2020,1,3,March
20210424,2021-04-24,2021,2,4,April
20211128,2021-11-28,2021,4,11,November
20201115,2020-11-15,2020,4,11,November
20201012,2020-10-12,2020,4,10,October
20211209,2021-12-09,2021,4,12,December
20200116,2020-01-16,2020,1,1,January
20201015,2020-10-15,2020,4,10,October
20201212,2020-12-12,2020,4,12,December
20210107,2021-01-07,2021,1,1,January
20211112,2021-11-12,2021,4,11,November
20210103,2021-01-03,2021,1,1,January
20201202,2020-12-02,2020,4,12,December
20210327,2021-03-27,2021,1,3,March
20200308,2020-03-08,2020,1,3,March
20210814,2021-08-14,2021,3,8,August
20211201,2021-12-01,2021,4,12,December
20200226,2020-02-26,2020,1,2,February
20210306,2021-03-06,2021,1,3,March
20201217,2020-12-17,2020,4,12,December
20200428,2020-04-28,2020,2,4,April
20201208,2020-12-08,2020,4,12,December
20211008,2021-10-08,2021,4,10,October
20210821,2021-08-21,2021,3,8,August
20210218,2021-02-18,2021,1,2,February
20210613,2021-06-13,2021,2,6,June
20210831,2021-08-31,2021,3,8,August
20200707,2020-07-07,2020,3,7,July
20200913,2020-09-13,2020,3,9,September
20200623,2020-06-23,2020,2,6,June
20200703,2020-07-03,2020,3,7,July
20201210,2020-12-10,2020,4,12,December
20211031,2021-10-31,2021,4,10,October
20210818,2021-08-18,2021,3,8,August
20200904,2020-09-04,2020,3,9,September
20210810,2021-08-10,2021,3,8,August
20200621,2020-06-21,2020,2,6,June
20210724,2021-07-24,2021,3,7,July
20200915,2020-09-15,2020,3,9,September
20201019,2020-10-19,2020,4,10,October
20201022,2020-10-22,2020,4,10,October
20200114,2020-01-14,2020,1,1,January
20211107,2021-11-07,2021,4,11,November
20201112,2020-11-12,2020,4,11,November
20210219,2021-02-19,2021,1,2,February
20200712,2020-07-12,2020,3,7,July
20210522,2021-05-22,2021,2,5,May
20200714,2020-07-14,2020,3,7,July
20200211,2020-02-11,2020,1,2,February
20210806,2021-08-06,2021,3,8,August
20200502,2020-05-02,2020,2,5,May
20210207,2021-02-07,2021,1,2,February
20201116,2020-11-16,2020,4,11,November
20201109,2020-11-09,2020,4,11,November
20201003,2020-10-03,2020,4,10,October
20211116,2021-11-16,2021,4,11,November
20210603,2021-06-03,2021,2,6,June
20200316,2020-03-16,2020,1,3,March
20210121,2021-01-21,2021,1,1,January
20210123,2021-01-23,2021,1,1,January
20210508,2021-05-08,2021,2,5,May
20210704,2021-07-04,2021,3,7,July
20210115,2021-01-15,2021,1,1,January
20200715,2020-07-15,2020,3,7,July
20210907,2021-09-07,2021,3,9,September
20210830,2021-08-30,2021,3,8,August
20200916,2020-09-16,2020,3,9,September
20200110,2020-01-10,2020,1,1,January
20211115,2021-11-15,2021,4,11,November
20201106,2020-11-06,2020,4,11,November
20201011,2020-10-11,2020,4,10,October
20201224,2020-12-24,2020,4,12,December
20201215,2020-12-15,2020,4,12,December
20211212,2021-12-12,2021,4,12,December
20210503,2021-05-03,2021,2,5,May
20201125,2020-11-25,2020,4,11,November
20210513,2021-05-13,2021,2,5,May
20200331,2020-03-31,2020,1,3,March
20200708,2020-07-08,2020,3,7,July
20200327,2020-03-27,2020,1,3,March
20210825,2021-08-25,2021,3,8,August
20210523,2021-05-23,2021,2,5,May
20200724,2020-07-24,2020,3,7,July
20200315,2020-03-15,2020,1,3,March
20210915,2021-09-15,2021,3,9,September
20200101,2020-01-01,2020,1,1,January
20200412,2020-04-12,2020,2,4,April
20200823,2020-08-23,2020,3,8,August
20200606,2020-06-06,2020,2,6,June
20200123,2020-01-23,2020,1,1,January
20200302,2020-03-02,2020,1,3,March
20200423,2020-04-23,2020,2,4,April
20210417,2021-04-17,2021,2,4,April
20200602,2020-06-02,2020,2,6,June
20200614,2020-06-14,2020,2,6,June
20210322,2021-03-22,2021,1,3,March
20210910,2021-09-10,2021,3,9,September
20210609,2021-06-09,2021,2,6,June
20211222,2021-12-22,2021,4,12,December
20211121,2021-11-21,2021,4,11,November
20211111,2021-11-11,2021,4,11,November
20211004,2021-10-04,2021,4,10,October
20200531,2020-05-31,2020,2,5,May
20211124,2021-11-24,2021,4,11,November
20210318,2021-03-18,2021,1,3,March
20211023,2021-10-23,2021,4,10,October
20210903,2021-09-03,2021,3,9,September
20201126,2020-11-26,2020,4,11,November
20200919,2020-09-19,2020,3,9,September
20200629,2020-06-29,2020,2,6,June
20200222,2020-02-22,2020,1,2,February
20210718,2021-07-18,2021,3,7,July
20200427,2020-04-27,2020,2,4,April
20210108,2021-01-08,2021,1,1,January
20210127,2021-01-27,2021,1,1,January
20200717,2020-07-17,2020,3,7,July
20210616,2021-06-16,2021,2,6,June
20211125,2021-11-25,2021,4,11,November
20211219,2021-12-19,2021,4,12,December
20210912,2021-09-12,2021,3,9,September
20211215,2021-12-15,2021,4,12,December
20200710,2020-07-10,2020,3,7,July
20200513,2020-05-13,2020,2,5,May
20200120,2020-01-20,2020,1,1,January
