Ticket ID,topic_id,topic_label
1,20,Repair or Replacement Concerns
2,0,Issue After Firmware Update
3,-1,Other or Unclassified Support Content
4,0,Issue After Firmware Update
5,11,Software Bugs and Data Loss
6,16,Screen and Display Problems
7,3,Data Loss and File Recovery
8,-1,Other or Unclassified Support Content
9,0,Issue After Firmware Update
10,18,Device Not Turning On
11,10,Unstable Internet Connection
12,-1,Other or Unclassified Support Content
13,23,Email and Account Issues
14,5,Unable to Perform Desired Action
15,0,Issue After Firmware Update
16,11,Software Bugs and Data Loss
17,6,Wi-Fi Connectivity Issues
18,-1,Other or Unclassified Support Content
19,0,Issue After Firmware Update
20,-1,Other or Unclassified Support Content
21,14,Software Freezing Issues
22,-1,Other or Unclassified Support Content
23,-1,Other or Unclassified Support Content
24,0,Issue After Firmware Update
25,1,App Issue Persists After Troubleshooting
26,18,Device Not Turning On
27,13,General Hardware Malfunction
28,1,App Issue Persists After Troubleshooting
29,10,Unstable Internet Connection
30,-1,Other or Unclassified Support Content
31,0,Issue After Firmware Update
32,1,App Issue Persists After Troubleshooting
33,12,Application Crashes and Software Bugs
34,6,Wi-Fi Connectivity Issues
35,0,Issue After Firmware Update
36,-1,Other or Unclassified Support Content
37,-1,Other or Unclassified Support Content
38,3,Data Loss and File Recovery
39,7,Security and Data Safety Concerns
40,6,Wi-Fi Connectivity Issues
41,5,Unable to Perform Desired Action
42,16,Screen and Display Problems
43,-1,Other or Unclassified Support Content
44,0,Issue After Firmware Update
45,-1,Other or Unclassified Support Content
46,6,Wi-Fi Connectivity Issues
47,8,Charging Problems
48,0,Issue After Firmware Update
49,-1,Other or Unclassified Support Content
50,6,Wi-Fi Connectivity Issues
51,13,General Hardware Malfunction
52,5,Unable to Perform Desired Action
53,8,Charging Problems
54,-1,Other or Unclassified Support Content
55,12,Application Crashes and Software Bugs
56,7,Security and Data Safety Concerns
57,0,Issue After Firmware Update
58,20,Repair or Replacement Concerns
59,3,Data Loss and File Recovery
60,-1,Other or Unclassified Support Content
61,-1,Other or Unclassified Support Content
62,1,App Issue Persists After Troubleshooting
63,1,App Issue Persists After Troubleshooting
64,0,Issue After Firmware Update
65,-1,Other or Unclassified Support Content
66,17,Urgent Issue Affecting Productivity
67,-1,Other or Unclassified Support Content
68,2,Account Access and Password Issues
69,-1,Other or Unclassified Support Content
70,3,Data Loss and File Recovery
71,2,Account Access and Password Issues
72,5,Unable to Perform Desired Action
73,-1,Other or Unclassified Support Content
74,18,Device Not Turning On
75,0,Issue After Firmware Update
76,-1,Other or Unclassified Support Content
77,23,Email and Account Issues
78,1,App Issue Persists After Troubleshooting
79,-1,Other or Unclassified Support Content
80,-1,Other or Unclassified Support Content
81,7,Security and Data Safety Concerns
82,13,General Hardware Malfunction
83,0,Issue After Firmware Update
84,11,Software Bugs and Data Loss
85,19,Urgent Issue Affecting Productivity
86,3,Data Loss and File Recovery
87,-1,Other or Unclassified Support Content
88,16,Screen and Display Problems
89,4,Error Messages and Error Codes
90,-1,Other or Unclassified Support Content
91,-1,Other or Unclassified Support Content
92,-1,Other or Unclassified Support Content
93,11,Software Bugs and Data Loss
94,4,Error Messages and Error Codes
95,0,Issue After Firmware Update
96,2,Account Access and Password Issues
97,9,Battery Life Issues
98,5,Unable to Perform Desired Action
99,0,Issue After Firmware Update
100,4,Error Messages and Error Codes
101,0,Issue After Firmware Update
102,-1,Other or Unclassified Support Content
103,2,Account Access and Password Issues
104,-1,Other or Unclassified Support Content
105,-1,Other or Unclassified Support Content
106,8,Charging Problems
107,0,Issue After Firmware Update
108,14,Software Freezing Issues
109,11,Software Bugs and Data Loss
110,9,Battery Life Issues
111,-1,Other or Unclassified Support Content
112,-1,Other or Unclassified Support Content
113,11,Software Bugs and Data Loss
114,0,Issue After Firmware Update
115,-1,Other or Unclassified Support Content
116,-1,Other or Unclassified Support Content
117,20,Repair or Replacement Concerns
118,2,Account Access and Password Issues
119,-1,Other or Unclassified Support Content
120,-1,Other or Unclassified Support Content
121,-1,Other or Unclassified Support Content
122,-1,Other or Unclassified Support Content
123,12,Application Crashes and Software Bugs
124,-1,Other or Unclassified Support Content
125,0,Issue After Firmware Update
126,0,Issue After Firmware Update
127,-1,Other or Unclassified Support Content
128,-1,Other or Unclassified Support Content
129,-1,Other or Unclassified Support Content
130,10,Unstable Internet Connection
131,-1,Other or Unclassified Support Content
132,0,Issue After Firmware Update
133,15,Software Update Availability
134,11,Software Bugs and Data Loss
135,0,Issue After Firmware Update
136,2,Account Access and Password Issues
137,7,Security and Data Safety Concerns
138,-1,Other or Unclassified Support Content
139,1,App Issue Persists After Troubleshooting
140,10,Unstable Internet Connection
141,15,Software Update Availability
142,0,Issue After Firmware Update
143,21,Refund Issues
144,10,Unstable Internet Connection
145,-1,Other or Unclassified Support Content
146,0,Issue After Firmware Update
147,-1,Other or Unclassified Support Content
148,21,Refund Issues
149,0,Issue After Firmware Update
150,4,Error Messages and Error Codes
151,7,Security and Data Safety Concerns
152,0,Issue After Firmware Update
153,-1,Other or Unclassified Support Content
154,0,Issue After Firmware Update
155,-1,Other or Unclassified Support Content
156,-1,Other or Unclassified Support Content
157,-1,Other or Unclassified Support Content
158,0,Issue After Firmware Update
159,-1,Other or Unclassified Support Content
160,15,Software Update Availability
161,19,Urgent Issue Affecting Productivity
162,-1,Other or Unclassified Support Content
163,0,Issue After Firmware Update
164,16,Screen and Display Problems
165,0,Issue After Firmware Update
166,3,Data Loss and File Recovery
167,4,Error Messages and Error Codes
168,3,Data Loss and File Recovery
169,12,Application Crashes and Software Bugs
170,-1,Other or Unclassified Support Content
171,6,Wi-Fi Connectivity Issues
172,-1,Other or Unclassified Support Content
173,0,Issue After Firmware Update
174,0,Issue After Firmware Update
175,18,Device Not Turning On
176,-1,Other or Unclassified Support Content
177,8,Charging Problems
178,0,Issue After Firmware Update
179,1,App Issue Persists After Troubleshooting
180,2,Account Access and Password Issues
181,16,Screen and Display Problems
182,0,Issue After Firmware Update
183,0,Issue After Firmware Update
184,19,Urgent Issue Affecting Productivity
185,-1,Other or Unclassified Support Content
186,17,Urgent Issue Affecting Productivity
187,5,Unable to Perform Desired Action
188,-1,Other or Unclassified Support Content
189,15,Software Update Availability
190,0,Issue After Firmware Update
191,-1,Other or Unclassified Support Content
192,9,Battery Life Issues
193,-1,Other or Unclassified Support Content
194,12,Application Crashes and Software Bugs
195,1,App Issue Persists After Troubleshooting
196,5,Unable to Perform Desired Action
197,-1,Other or Unclassified Support Content
198,12,Application Crashes and Software Bugs
199,21,Refund Issues
200,0,Issue After Firmware Update
201,6,Wi-Fi Connectivity Issues
202,-1,Other or Unclassified Support Content
203,4,Error Messages and Error Codes
204,1,App Issue Persists After Troubleshooting
205,6,Wi-Fi Connectivity Issues
206,7,Security and Data Safety Concerns
207,-1,Other or Unclassified Support Content
208,0,Issue After Firmware Update
209,6,Wi-Fi Connectivity Issues
210,3,Data Loss and File Recovery
211,6,Wi-Fi Connectivity Issues
212,-1,Other or Unclassified Support Content
213,0,Issue After Firmware Update
214,-1,Other or Unclassified Support Content
215,-1,Other or Unclassified Support Content
216,2,Account Access and Password Issues
217,13,General Hardware Malfunction
218,0,Issue After Firmware Update
219,6,Wi-Fi Connectivity Issues
220,7,Security and Data Safety Concerns
221,7,Security and Data Safety Concerns
222,7,Security and Data Safety Concerns
223,16,Screen and Display Problems
224,1,App Issue Persists After Troubleshooting
225,0,Issue After Firmware Update
226,20,Repair or Replacement Concerns
227,0,Issue After Firmware Update
228,15,Software Update Availability
229,1,App Issue Persists After Troubleshooting
230,0,Issue After Firmware Update
231,-1,Other or Unclassified Support Content
232,22,Invoice and Payment Issues
233,0,Issue After Firmware Update
234,0,Issue After Firmware Update
235,0,Issue After Firmware Update
236,-1,Other or Unclassified Support Content
237,5,Unable to Perform Desired Action
238,22,Invoice and Payment Issues
239,0,Issue After Firmware Update
240,10,Unstable Internet Connection
241,0,Issue After Firmware Update
242,-1,Other or Unclassified Support Content
243,21,Refund Issues
244,3,Data Loss and File Recovery
245,14,Software Freezing Issues
246,10,Unstable Internet Connection
247,0,Issue After Firmware Update
248,2,Account Access and Password Issues
249,8,Charging Problems
250,5,Unable to Perform Desired Action
251,0,Issue After Firmware Update
252,4,Error Messages and Error Codes
253,12,Application Crashes and Software Bugs
254,-1,Other or Unclassified Support Content
